-e Time,			total,	used,	free,	cache
-e 14-12-17 08:34:59,	 0k,	 0k,	 0k,	 1572728k
-e 14-12-17 08:35:03,	 0k,	 0k,	 0k,	 1573976k
-e 14-12-17 08:35:06,	 0k,	 0k,	 0k,	 1577348k
-e 14-12-17 08:35:10,	 0k,	 0k,	 0k,	 1577352k
-e 14-12-17 08:35:13,	 0k,	 0k,	 0k,	 1577380k
-e 14-12-17 08:35:17,	 0k,	 0k,	 0k,	 1577380k
-e 14-12-17 08:35:21,	 0k,	 0k,	 0k,	 1577380k
-e 14-12-17 08:35:24,	 0k,	 0k,	 0k,	 1577380k
-e 14-12-17 08:35:28,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:35:31,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:35:35,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:35:38,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:35:42,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:35:45,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:35:49,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:35:52,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:35:56,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:36:00,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:36:03,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:36:07,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:36:10,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:36:14,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:36:17,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:36:21,	 0k,	 0k,	 0k,	 1577364k
-e 14-12-17 08:36:24,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:36:28,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:36:31,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:36:35,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:36:38,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:36:42,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:36:46,	 0k,	 0k,	 0k,	 1577372k
-e 14-12-17 08:36:49,	 0k,	 0k,	 0k,	 1577372k
-e 14-12-17 08:36:53,	 0k,	 0k,	 0k,	 1577372k
-e 14-12-17 08:36:56,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:00,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:03,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:37:07,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:10,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:14,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:17,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:21,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:37:25,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:28,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:32,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:35,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:39,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:42,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:46,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:49,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:53,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:37:56,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:38:00,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:38:04,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:38:07,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:38:11,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:38:14,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:38:18,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:38:21,	 0k,	 0k,	 0k,	 1577368k
-e 14-12-17 08:38:25,	 0k,	 0k,	 0k,	 1577376k
-e 14-12-17 08:38:28,	 0k,	 0k,	 0k,	 1577380k
-e 14-12-17 08:38:32,	 0k,	 0k,	 0k,	 1577380k
-e 14-12-17 08:38:35,	 0k,	 0k,	 0k,	 1577380k
-e 14-12-17 08:38:39,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:38:43,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:38:46,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:38:50,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:38:53,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:38:57,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:00,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:04,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:07,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:11,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:14,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:18,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:21,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:25,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:29,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:32,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:36,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:39,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:43,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:46,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:50,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:53,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:39:57,	 0k,	 0k,	 0k,	 1577384k
-e 14-12-17 08:40:00,	 0k,	 0k,	 0k,	 1577384k
