-e Time,			IN(KBytes/s),	OUT(KByte/s)
-e 2014-12-17 08:34:26,	235126,		6068
-e 2014-12-17 08:34:27,	240602,		6188
-e 2014-12-17 08:34:28,	241591,		6124
-e 2014-12-17 08:34:29,	244362,		6129
-e 2014-12-17 08:34:30,	259461,		6506
-e 2014-12-17 08:34:31,	252361,		6251
-e 2014-12-17 08:34:32,	254696,		6185
-e 2014-12-17 08:34:33,	270259,		6630
-e 2014-12-17 08:34:34,	269944,		6821
-e 2014-12-17 08:34:35,	247863,		6194
-e 2014-12-17 08:34:36,	271011,		6528
-e 2014-12-17 08:34:37,	255855,		6207
-e 2014-12-17 08:34:38,	275458,		6704
-e 2014-12-17 08:34:39,	272866,		6519
-e 2014-12-17 08:34:40,	152952,		3545
-e 2014-12-17 08:34:41,	249113,		6148
-e 2014-12-17 08:34:42,	243291,		6304
-e 2014-12-17 08:34:43,	103211,		2864
-e 2014-12-17 08:34:44,	0,		0
-e 2014-12-17 08:34:45,	0,		0
-e 2014-12-17 08:34:46,	0,		0
-e 2014-12-17 08:34:47,	0,		0
-e 2014-12-17 08:34:48,	0,		0
-e 2014-12-17 08:34:49,	0,		0
-e 2014-12-17 08:34:50,	0,		0
-e 2014-12-17 08:34:51,	0,		0
-e 2014-12-17 08:34:52,	0,		0
-e 2014-12-17 08:34:53,	0,		1
-e 2014-12-17 08:34:54,	0,		0
-e 2014-12-17 08:34:55,	0,		0
-e 2014-12-17 08:34:56,	0,		0
-e 2014-12-17 08:34:57,	0,		0
-e 2014-12-17 08:34:58,	0,		0
-e 2014-12-17 08:34:59,	0,		0
-e 2014-12-17 08:35:00,	0,		0
-e 2014-12-17 08:35:01,	0,		0
-e 2014-12-17 08:35:02,	0,		1
-e 2014-12-17 08:35:03,	0,		0
-e 2014-12-17 08:35:04,	0,		0
-e 2014-12-17 08:35:05,	0,		0
-e 2014-12-17 08:35:06,	0,		0
-e 2014-12-17 08:35:07,	0,		1
-e 2014-12-17 08:35:08,	0,		0
-e 2014-12-17 08:35:09,	0,		0
-e 2014-12-17 08:35:10,	0,		2
-e 2014-12-17 08:35:11,	0,		0
-e 2014-12-17 08:35:12,	3,		5
-e 2014-12-17 08:35:13,	3,		8
-e 2014-12-17 08:35:14,	2,		5
-e 2014-12-17 08:35:15,	1,		2
-e 2014-12-17 08:35:16,	2,		2
-e 2014-12-17 08:35:17,	0,		0
-e 2014-12-17 08:35:18,	3,		5
-e 2014-12-17 08:35:19,	1,		3
-e 2014-12-17 08:35:20,	3,		8
