-e Time,			IN(KBytes/s),	OUT(KByte/s)
-e 2014-12-17 08:49:07,	0,		0
-e 2014-12-17 08:49:08,	0,		0
-e 2014-12-17 08:49:09,	0,		0
-e 2014-12-17 08:49:10,	0,		0
-e 2014-12-17 08:49:11,	0,		0
-e 2014-12-17 08:49:12,	0,		0
-e 2014-12-17 08:49:13,	0,		0
-e 2014-12-17 08:49:14,	0,		0
-e 2014-12-17 08:49:15,	0,		0
-e 2014-12-17 08:49:16,	0,		0
-e 2014-12-17 08:49:17,	0,		0
-e 2014-12-17 08:49:18,	0,		0
-e 2014-12-17 08:49:19,	0,		0
-e 2014-12-17 08:49:20,	0,		0
-e 2014-12-17 08:49:21,	0,		0
-e 2014-12-17 08:49:22,	0,		0
-e 2014-12-17 08:49:23,	0,		0
-e 2014-12-17 08:49:24,	0,		0
-e 2014-12-17 08:49:25,	0,		0
-e 2014-12-17 08:49:26,	0,		0
-e 2014-12-17 08:49:27,	0,		0
-e 2014-12-17 08:49:28,	0,		0
-e 2014-12-17 08:49:29,	0,		0
-e 2014-12-17 08:49:30,	0,		0
-e 2014-12-17 08:49:31,	0,		0
-e 2014-12-17 08:49:32,	0,		0
-e 2014-12-17 08:49:33,	0,		0
-e 2014-12-17 08:49:34,	0,		0
-e 2014-12-17 08:49:35,	0,		0
-e 2014-12-17 08:49:36,	0,		0
-e 2014-12-17 08:49:37,	0,		0
-e 2014-12-17 08:49:38,	0,		0
-e 2014-12-17 08:49:39,	0,		0
-e 2014-12-17 08:49:40,	0,		0
-e 2014-12-17 08:49:41,	0,		0
-e 2014-12-17 08:49:42,	0,		0
-e 2014-12-17 08:49:43,	0,		0
-e 2014-12-17 08:49:44,	0,		0
-e 2014-12-17 08:49:45,	0,		0
-e 2014-12-17 08:49:46,	0,		0
-e 2014-12-17 08:49:47,	0,		0
-e 2014-12-17 08:49:48,	0,		0
-e 2014-12-17 08:49:49,	0,		0
-e 2014-12-17 08:49:50,	0,		0
-e 2014-12-17 08:49:51,	0,		0
-e 2014-12-17 08:49:52,	0,		0
-e 2014-12-17 08:49:53,	0,		0
-e 2014-12-17 08:49:54,	0,		0
-e 2014-12-17 08:49:55,	0,		0
-e 2014-12-17 08:49:56,	0,		0
-e 2014-12-17 08:49:57,	0,		0
-e 2014-12-17 08:49:58,	0,		0
-e 2014-12-17 08:49:59,	0,		0
-e 2014-12-17 08:50:00,	0,		0
-e 2014-12-17 08:50:01,	0,		0
-e 2014-12-17 08:50:02,	0,		0
-e 2014-12-17 08:50:03,	0,		0
-e 2014-12-17 08:50:04,	0,		0
-e 2014-12-17 08:50:05,	0,		0
-e 2014-12-17 08:50:06,	0,		0
-e 2014-12-17 08:50:07,	0,		0
-e 2014-12-17 08:50:08,	0,		0
-e 2014-12-17 08:50:09,	0,		0
-e 2014-12-17 08:50:10,	0,		0
-e 2014-12-17 08:50:11,	0,		0
-e 2014-12-17 08:50:12,	0,		0
-e 2014-12-17 08:50:13,	0,		0
-e 2014-12-17 08:50:14,	0,		0
-e 2014-12-17 08:50:15,	0,		0
-e 2014-12-17 08:50:16,	0,		0
-e 2014-12-17 08:50:17,	0,		0
-e 2014-12-17 08:50:18,	0,		0
-e 2014-12-17 08:50:19,	0,		0
-e 2014-12-17 08:50:20,	0,		0
-e 2014-12-17 08:50:21,	0,		0
-e 2014-12-17 08:50:22,	0,		0
-e 2014-12-17 08:50:23,	0,		0
-e 2014-12-17 08:50:24,	0,		0
-e 2014-12-17 08:50:25,	0,		0
-e 2014-12-17 08:50:26,	0,		0
-e 2014-12-17 08:50:27,	0,		0
-e 2014-12-17 08:50:28,	0,		0
-e 2014-12-17 08:50:29,	0,		0
-e 2014-12-17 08:50:30,	0,		0
-e 2014-12-17 08:50:31,	0,		0
-e 2014-12-17 08:50:32,	0,		0
-e 2014-12-17 08:50:33,	0,		0
-e 2014-12-17 08:50:34,	0,		0
-e 2014-12-17 08:50:35,	0,		0
-e 2014-12-17 08:50:36,	0,		0
-e 2014-12-17 08:50:37,	0,		0
-e 2014-12-17 08:50:39,	0,		0
-e 2014-12-17 08:50:40,	0,		0
-e 2014-12-17 08:50:41,	0,		0
-e 2014-12-17 08:50:42,	0,		0
-e 2014-12-17 08:50:43,	0,		0
-e 2014-12-17 08:50:44,	0,		0
-e 2014-12-17 08:50:45,	0,		0
-e 2014-12-17 08:50:46,	0,		2
-e 2014-12-17 08:50:47,	0,		0
-e 2014-12-17 08:50:48,	2,		2
-e 2014-12-17 08:50:49,	3,		6
-e 2014-12-17 08:50:50,	0,		0
-e 2014-12-17 08:50:51,	1,		2
-e 2014-12-17 08:50:52,	0,		0
-e 2014-12-17 08:50:53,	3,		4
-e 2014-12-17 08:50:54,	0,		1
-e 2014-12-17 08:50:55,	0,		0
-e 2014-12-17 08:50:56,	0,		0
-e 2014-12-17 08:50:57,	0,		0
-e 2014-12-17 08:50:58,	0,		0
-e 2014-12-17 08:50:59,	0,		0
-e 2014-12-17 08:51:00,	0,		0
-e 2014-12-17 08:51:01,	1,		3
-e 2014-12-17 08:51:02,	0,		0
-e 2014-12-17 08:51:03,	0,		0
-e 2014-12-17 08:51:04,	0,		0
-e 2014-12-17 08:51:05,	1,		1
-e 2014-12-17 08:51:06,	0,		0
-e 2014-12-17 08:51:07,	0,		0
-e 2014-12-17 08:51:08,	0,		0
-e 2014-12-17 08:51:09,	0,		0
-e 2014-12-17 08:51:10,	7,		12
-e 2014-12-17 08:51:11,	22,		96
-e 2014-12-17 08:51:12,	0,		0
-e 2014-12-17 08:51:13,	8,		12
-e 2014-12-17 08:51:14,	8,		9
