-e Time,			1min,	5min,	15min
-e 14-12-17 08:40:18,	 3.65,	 4.37	 top 
-e 14-12-17 08:40:21,	 3.59,	 4.35	 top 
-e 14-12-17 08:40:25,	 3.53,	 4.33	 top 
-e 14-12-17 08:40:28,	 3.47,	 4.30	 top 
-e 14-12-17 08:40:32,	 3.47,	 4.30	 top 
-e 14-12-17 08:40:36,	 3.41,	 4.28	 top 
-e 14-12-17 08:40:39,	 3.35,	 4.26	 top 
-e 14-12-17 08:40:43,	 3.35,	 4.26	 top 
-e 14-12-17 08:40:46,	 3.30,	 4.23	 top 
-e 14-12-17 08:40:50,	 3.24,	 4.21	 top 
-e 14-12-17 08:40:53,	 3.26,	 4.21	 top 
-e 14-12-17 08:40:57,	 3.26,	 4.21	 top 
-e 14-12-17 08:41:00,	 3.22,	 4.19	 top 
-e 14-12-17 08:41:04,	 3.16,	 4.17	 top 
-e 14-12-17 08:41:07,	 3.16,	 4.17	 top 
-e 14-12-17 08:41:11,	 3.11,	 4.15	 top 
-e 14-12-17 08:41:15,	 3.06,	 4.13	 top 
-e 14-12-17 08:41:18,	 3.01,	 4.10	 top 
-e 14-12-17 08:41:22,	 3.01,	 4.10	 top 
-e 14-12-17 08:41:25,	 2.96,	 4.08	 top 
-e 14-12-17 08:41:29,	 2.91,	 4.06	 top 
-e 14-12-17 08:41:32,	 2.91,	 4.06	 top 
-e 14-12-17 08:41:36,	 2.93,	 4.06	 top 
-e 14-12-17 08:41:39,	 2.88,	 4.04	 top 
-e 14-12-17 08:41:43,	 2.88,	 4.04	 top 
-e 14-12-17 08:41:46,	 2.83,	 4.02	 top 
-e 14-12-17 08:41:50,	 2.79,	 4.00	 top 
-e 14-12-17 08:41:53,	 2.74,	 3.97	 top 
-e 14-12-17 08:41:57,	 2.74,	 3.97	 top 
-e 14-12-17 08:42:01,	 2.69,	 3.95	 top 
-e 14-12-17 08:42:04,	 2.65,	 3.93	 top 
-e 14-12-17 08:42:08,	 2.65,	 3.93	 top 
-e 14-12-17 08:42:11,	 2.60,	 3.91	 top 
-e 14-12-17 08:42:15,	 2.56,	 3.89	 top 
-e 14-12-17 08:42:18,	 2.52,	 3.87	 top 
-e 14-12-17 08:42:22,	 2.52,	 3.87	 top 
-e 14-12-17 08:42:25,	 2.48,	 3.85	 top 
-e 14-12-17 08:42:29,	 2.44,	 3.83	 top 
-e 14-12-17 08:42:32,	 2.44,	 3.83	 top 
-e 14-12-17 08:42:36,	 2.39,	 3.81	 top 
-e 14-12-17 08:42:39,	 2.36,	 3.79	 top 
-e 14-12-17 08:42:43,	 2.36,	 3.79	 top 
-e 14-12-17 08:42:47,	 2.40,	 3.79	 top 
-e 14-12-17 08:42:50,	 2.36,	 3.77	 top 
-e 14-12-17 08:42:54,	 2.32,	 3.75	 top 
-e 14-12-17 08:42:57,	 2.32,	 3.75	 top 
-e 14-12-17 08:43:01,	 2.28,	 3.73	 top 
-e 14-12-17 08:43:04,	 2.28,	 3.72	 top 
-e 14-12-17 08:43:08,	 2.28,	 3.72	 top 
-e 14-12-17 08:43:11,	 2.24,	 3.70	 top 
-e 14-12-17 08:43:15,	 2.20,	 3.68	 top 
-e 14-12-17 08:43:18,	 2.17,	 3.66	 top 
-e 14-12-17 08:43:22,	 2.17,	 3.66	 top 
-e 14-12-17 08:43:26,	 2.13,	 3.64	 top 
