-e Time,			total,	used,	buffer
-e 14-12-17 08:38:28,	 61598796k,	 3280396k,	 58318400k
-e 14-12-17 08:38:32,	 61598796k,	 3281308k,	 58317488k
-e 14-12-17 08:38:35,	 61598796k,	 3280388k,	 58318408k
-e 14-12-17 08:38:39,	 61598796k,	 3281544k,	 58317252k
-e 14-12-17 08:38:42,	 61598796k,	 3281628k,	 58317168k
-e 14-12-17 08:38:46,	 61598796k,	 3279868k,	 58318928k
-e 14-12-17 08:38:49,	 61598796k,	 3281176k,	 58317620k
-e 14-12-17 08:38:53,	 61598796k,	 3280364k,	 58318432k
-e 14-12-17 08:38:56,	 61598796k,	 3281664k,	 58317132k
-e 14-12-17 08:39:00,	 61598796k,	 3279968k,	 58318828k
-e 14-12-17 08:39:03,	 61598796k,	 3281924k,	 58316872k
-e 14-12-17 08:39:07,	 61598796k,	 3280176k,	 58318620k
-e 14-12-17 08:39:11,	 61598796k,	 3280676k,	 58318120k
-e 14-12-17 08:39:14,	 61598796k,	 3279912k,	 58318884k
-e 14-12-17 08:39:18,	 61598796k,	 3280088k,	 58318708k
-e 14-12-17 08:39:21,	 61598796k,	 3280620k,	 58318176k
-e 14-12-17 08:39:25,	 61598796k,	 3279140k,	 58319656k
-e 14-12-17 08:39:28,	 61598796k,	 3279424k,	 58319372k
-e 14-12-17 08:39:32,	 61598796k,	 3279332k,	 58319464k
-e 14-12-17 08:39:35,	 61598796k,	 3279140k,	 58319656k
-e 14-12-17 08:39:39,	 61598796k,	 3278824k,	 58319972k
-e 14-12-17 08:39:42,	 61598796k,	 3279880k,	 58318916k
-e 14-12-17 08:39:46,	 61598796k,	 3279300k,	 58319496k
-e 14-12-17 08:39:50,	 61598796k,	 3279224k,	 58319572k
-e 14-12-17 08:39:53,	 61598796k,	 3279876k,	 58318920k
-e 14-12-17 08:39:57,	 61598796k,	 3279400k,	 58319396k
-e 14-12-17 08:40:00,	 61598796k,	 3279740k,	 58319056k
-e 14-12-17 08:40:04,	 61598796k,	 3279304k,	 58319492k
-e 14-12-17 08:40:07,	 61598796k,	 3280040k,	 58318756k
-e 14-12-17 08:40:11,	 61598796k,	 3278872k,	 58319924k
-e 14-12-17 08:40:14,	 61598796k,	 3280240k,	 58318556k
-e 14-12-17 08:40:18,	 61598796k,	 3279164k,	 58319632k
-e 14-12-17 08:40:21,	 61598796k,	 3280172k,	 58318624k
-e 14-12-17 08:40:25,	 61598796k,	 3279740k,	 58319056k
-e 14-12-17 08:40:29,	 61598796k,	 3279304k,	 58319492k
-e 14-12-17 08:40:32,	 61598796k,	 3281124k,	 58317672k
-e 14-12-17 08:40:36,	 61598796k,	 3279332k,	 58319464k
-e 14-12-17 08:40:39,	 61598796k,	 3280592k,	 58318204k
-e 14-12-17 08:40:43,	 61598796k,	 3279064k,	 58319732k
-e 14-12-17 08:40:46,	 61598796k,	 3279800k,	 58318996k
-e 14-12-17 08:40:50,	 61598796k,	 3278884k,	 58319912k
-e 14-12-17 08:40:53,	 61598796k,	 3280208k,	 58318588k
-e 14-12-17 08:40:57,	 61598796k,	 3280308k,	 58318488k
-e 14-12-17 08:41:00,	 61598796k,	 3279536k,	 58319260k
-e 14-12-17 08:41:04,	 61598796k,	 3279436k,	 58319360k
-e 14-12-17 08:41:07,	 61598796k,	 3278572k,	 58320224k
-e 14-12-17 08:41:11,	 61598796k,	 3279148k,	 58319648k
-e 14-12-17 08:41:15,	 61598796k,	 3279084k,	 58319712k
-e 14-12-17 08:41:18,	 61598796k,	 3279320k,	 58319476k
-e 14-12-17 08:41:22,	 61598796k,	 3278772k,	 58320024k
-e 14-12-17 08:41:25,	 61598796k,	 3278620k,	 58320176k
-e 14-12-17 08:41:29,	 61598796k,	 3279316k,	 58319480k
-e 14-12-17 08:41:32,	 61598796k,	 3279092k,	 58319704k
-e 14-12-17 08:41:36,	 61598796k,	 3280020k,	 58318776k
-e 14-12-17 08:41:39,	 61598796k,	 3280256k,	 58318540k
-e 14-12-17 08:41:43,	 61598796k,	 3278300k,	 58320496k
-e 14-12-17 08:41:46,	 61598796k,	 3278964k,	 58319832k
-e 14-12-17 08:41:50,	 61598796k,	 3279828k,	 58318968k
-e 14-12-17 08:41:54,	 61598796k,	 3278884k,	 58319912k
-e 14-12-17 08:41:57,	 61598796k,	 3278976k,	 58319820k
-e 14-12-17 08:42:01,	 61598796k,	 3279588k,	 58319208k
-e 14-12-17 08:42:04,	 61598796k,	 3279708k,	 58319088k
-e 14-12-17 08:42:08,	 61598796k,	 3279696k,	 58319100k
-e 14-12-17 08:42:11,	 61598796k,	 3280552k,	 58318244k
-e 14-12-17 08:42:15,	 61598796k,	 3279800k,	 58318996k
-e 14-12-17 08:42:18,	 61598796k,	 3279880k,	 58318916k
-e 14-12-17 08:42:22,	 61598796k,	 3279380k,	 58319416k
-e 14-12-17 08:42:25,	 61598796k,	 3279020k,	 58319776k
-e 14-12-17 08:42:29,	 61598796k,	 3278720k,	 58320076k
-e 14-12-17 08:42:32,	 61598796k,	 3278908k,	 58319888k
-e 14-12-17 08:42:36,	 61598796k,	 3279416k,	 58319380k
-e 14-12-17 08:42:40,	 61598796k,	 3279752k,	 58319044k
-e 14-12-17 08:42:43,	 61598796k,	 3279748k,	 58319048k
-e 14-12-17 08:42:47,	 61598796k,	 3278944k,	 58319852k
-e 14-12-17 08:42:50,	 61598796k,	 3278664k,	 58320132k
-e 14-12-17 08:42:54,	 61598796k,	 3278640k,	 58320156k
-e 14-12-17 08:42:57,	 61598796k,	 3278192k,	 58320604k
-e 14-12-17 08:43:01,	 61598796k,	 3278704k,	 58320092k
-e 14-12-17 08:43:04,	 61598796k,	 3278976k,	 58319820k
-e 14-12-17 08:43:08,	 61598796k,	 3278888k,	 58319908k
-e 14-12-17 08:43:11,	 61598796k,	 3279284k,	 58319512k
-e 14-12-17 08:43:15,	 61598796k,	 3279192k,	 58319604k
-e 14-12-17 08:43:19,	 61598796k,	 3278964k,	 58319832k
-e 14-12-17 08:43:22,	 61598796k,	 3279216k,	 58319580k
-e 14-12-17 08:43:26,	 61598796k,	 3279736k,	 58319060k
-e 14-12-17 08:43:29,	 61598796k,	 3279836k,	 58318960k
-e 14-12-17 08:43:33,	 61598796k,	 3280112k,	 58318684k
-e 14-12-17 08:43:36,	 61598796k,	 3279704k,	 58319092k
-e 14-12-17 08:43:40,	 61598796k,	 3278844k,	 58319952k
-e 14-12-17 08:43:43,	 61598796k,	 3280384k,	 58318412k
-e 14-12-17 08:43:47,	 61598796k,	 3279840k,	 58318956k
-e 14-12-17 08:43:50,	 61598796k,	 3279464k,	 58319332k
-e 14-12-17 08:43:54,	 61598796k,	 3280144k,	 58318652k
-e 14-12-17 08:43:57,	 61598796k,	 3280200k,	 58318596k
-e 14-12-17 08:44:01,	 61598796k,	 3279900k,	 58318896k
-e 14-12-17 08:44:05,	 61598796k,	 3279540k,	 58319256k
-e 14-12-17 08:44:08,	 61598796k,	 3280316k,	 58318480k
-e 14-12-17 08:44:12,	 61598796k,	 3279444k,	 58319352k
-e 14-12-17 08:44:15,	 61598796k,	 3280164k,	 58318632k
-e 14-12-17 08:44:19,	 61598796k,	 3279388k,	 58319408k
-e 14-12-17 08:44:22,	 61598796k,	 3279812k,	 58318984k
-e 14-12-17 08:44:26,	 61598796k,	 3280252k,	 58318544k
-e 14-12-17 08:44:29,	 61598796k,	 3279140k,	 58319656k
-e 14-12-17 08:44:33,	 61598796k,	 3279860k,	 58318936k
-e 14-12-17 08:44:36,	 61598796k,	 3278604k,	 58320192k
-e 14-12-17 08:44:40,	 61598796k,	 3279460k,	 58319336k
-e 14-12-17 08:44:44,	 61598796k,	 3279024k,	 58319772k
-e 14-12-17 08:44:47,	 61598796k,	 3280092k,	 58318704k
-e 14-12-17 08:44:51,	 61598796k,	 3278680k,	 58320116k
-e 14-12-17 08:44:54,	 61598796k,	 3280404k,	 58318392k
-e 14-12-17 08:44:58,	 61598796k,	 3278984k,	 58319812k
-e 14-12-17 08:45:01,	 61598796k,	 3279412k,	 58319384k
-e 14-12-17 08:45:05,	 61598796k,	 3279772k,	 58319024k
-e 14-12-17 08:45:08,	 61598796k,	 3279104k,	 58319692k
-e 14-12-17 08:45:12,	 61598796k,	 3280128k,	 58318668k
-e 14-12-17 08:45:15,	 61598796k,	 3279420k,	 58319376k
-e 14-12-17 08:45:19,	 61598796k,	 3279372k,	 58319424k
-e 14-12-17 08:45:23,	 61598796k,	 3279772k,	 58319024k
-e 14-12-17 08:45:26,	 61598796k,	 3280056k,	 58318740k
